,model,price,specs,processor,core,ram,storage,graphics,display,os
273,Acer Aspire 7 A715-76G NH.QMESI.002 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹50,990",67,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
274,Acer Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹36,990",,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
275,Infinix INBook X2 Slim Series Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),"₹30,990",,11th Gen Intel Core i3  1115G4,"Dual Core, 4 Threads",8 GB LPDDR4X RAM,256 GB SSD,Intel Integrated UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS
276,Asus Vivobook 15 X1502ZA-EJ532WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹45,990",64,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
277,HP 15-fd0013TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹63,490",,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
278,Acer Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,29,999",78,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16 inches, 2560 x 1600 pixels",Windows 11 OS
279,Asus TUF Gaming F17 FX706HF-HX018W Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹56,089",64,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"17.3 inches, 1920 x 1080 pixels",Windows 11 OS
280,HP 15-eg3026TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹81,100",64,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
281,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ952WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,49,990",88,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,"16 inches, 3200 x 2000 pixels",Windows 11 OS
282,Acer Predator Helios Neo 16 PHN16-71 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,09,990",75,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,"16 inches, 1920 x 1200 pixels",Windows 11 OS
283,Asus Vivobook Go 15 OLED 2023 E1504FA-LK545WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),"₹49,990",60,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
284,HP Victus 15-fa1066TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹1,04,990",71,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
285,Acer One 11 Z8-284 UN.013SI.032 Laptop ( Intel Celeron N4500/ 8GB/ 256GB SSD/ Win11 Home),"₹21,990",,Intel Celeron N4500,"Dual Core, 2 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"11.6 inches, 1366 x 768 pixels",Windows 11 OS
286,Acer Nitro V ANV15-51 NH.QNASI.001 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹60,990",62,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
287,Infinix INBook Y1 Plus Neo XL30 Laptop (Intel Celeron N5100/ 8GB/ 512GB SSD/ Win 11 Home),"₹23,990",,11th Gen Intel Celeron N5100,"Quad Core, 4 Threads",8 GB LPDDR4X RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
288,Honor MagicBook X14 2023 ‎‎FRI-F58 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹48,990",64,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS
289,Asus Vivobook Pro 15 OLED M3500QC-L1712WS Laptop (Ryzen 7 5800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹79,990",67,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",16 GB DDR4  RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
290,MSI Modern 15 B7M-071IN Laptop (AMD Ryzen 5-7530U/ 16GB/ 512GB SSD/ Win11),"₹45,990",,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16 GB ‎DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
291,Zebronics ZEB-NBC 5S Laptop (12th Gen Core i7 / 16GB/ 512GB SSD/ Win11 Home),"₹50,990",72,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
292,Acer Extensa 15 EX215-33 2023 Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),"₹31,990",,Intel Core i3 N305,"Octa Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
293,MSI Modern 14 C11M-030IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹36,990",,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels",Windows 11 OS
294,MSI Modern 14 C7M-062IN Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11),"₹44,990",62,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS
295,MSI Sword 15 A12VF-401IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,02,990",79,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
296,HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),"₹79,490",70,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
297,MSI Thin GF63 12VE-070IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/6GB Graphics),"₹79,990",73,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
298,Samsung Galaxy Book 3 NP750XFG-KA3IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹84,790",60,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
299,HP 245 G8 689T5PA Laptop (Ryzen 5 5500/ 8GB/ 512GB SSD/ Win 11 Home),"₹34,490",60,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1366 x 768 pixels",Windows 11 OS
300,HP Envy x360 15-ew0021TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹79,990",71,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris X Graphics,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
301,MSI Stealth GS77 12UHS-226IN Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),"₹3,05,990",,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",32 GB DDR5 RAM,2 TB SSD,16 GB NVIDIA GeForce RTX 3080Ti,"17.3 inches, 3840 x 2160 pixels",Windows 11 OS
